keyword,keyword_uri,wikidata_qid,wikidata_uri,wikidata_label,wikidata_description,match_type,search_lang
Digitale Identität,http://example.org/digitalhaushalt/keyword/digitale-identitaet,Q528053,http://www.wikidata.org/entity/Q528053,digitale Identität,"in Computersystemen gespeicherte Daten, die sich auf eine Person, eine Organisation, eine Anwendung oder ein Gerät beziehen",exact,de
Smarte Datenwirtschaft,http://example.org/digitalhaushalt/keyword/smarte-datenwirtschaft,,,,,none,
Nutzung von Daten,http://example.org/digitalhaushalt/keyword/nutzung-von-daten,Q115722179,http://www.wikidata.org/entity/Q115722179,Nutzung von Datenbankdiensten in Data-Warehouse-Anwendungen (Connecting Data Warehouse Applications with Database Services),wissenschaftlicher Artikel,fuzzy,de
Industrial Data Space,http://example.org/digitalhaushalt/keyword/industrial-data-space,Q58328699,http://www.wikidata.org/entity/Q58328699,Industrial Data Space,,exact,de
5G-Campusnetzwerke,http://example.org/digitalhaushalt/keyword/5g-campusnetzwerke,,,,,none,
Offene Schnittstelle,http://example.org/digitalhaushalt/keyword/offene-schnittstelle,,,,,none,
Open RAN,http://example.org/digitalhaushalt/keyword/open-ran,Q116923275,http://www.wikidata.org/entity/Q116923275,Open Radio Access Network,standard,exact,de
Digitale Technologien,http://example.org/digitalhaushalt/keyword/digitale-technologien,Q115255590,http://www.wikidata.org/entity/Q115255590,Digitale Technologien als Wegbereiter für Startups: Eine Fallstudie zum 3D-Druck in der Photonik,"wissenschaftlicher Artikel, 2022",fuzzy,de
Forum Digitale Technologien,http://example.org/digitalhaushalt/keyword/forum-digitale-technologien,,,,,none,
KI-Innovationswettbewerbs,http://example.org/digitalhaushalt/keyword/ki-innovationswettbewerbs,,,,,none,
Generative KI,http://example.org/digitalhaushalt/keyword/generative-ki,Q117246174,http://www.wikidata.org/entity/Q117246174,generative Künstliche Intelligenz,"KI, die in der Lage ist, Inhalte als Reaktion auf eine Aufforderung (Prompt) zu erstellen",exact,de
Chat,http://example.org/digitalhaushalt/keyword/chat,Q1084094,http://www.wikidata.org/entity/Q1084094,Christliche Theologische Akademie Warschau,polnische Hochschule,exact,de
GPT,http://example.org/digitalhaushalt/keyword/gpt,Q603889,http://www.wikidata.org/entity/Q603889,GUID Partition Table,Standard für das Format von Partitionstabellen auf Festplatten oder anderen Datenträgern,exact,de
generativer KIvor,http://example.org/digitalhaushalt/keyword/generativer-kivor,,,,,none,
Authentifizierung,http://example.org/digitalhaushalt/keyword/authentifizierung,Q212108,http://www.wikidata.org/entity/Q212108,Authentifizierung,Bestätigung einer behaupteten Eigenschaft einer Entität,exact,de
Wallet,http://example.org/digitalhaushalt/keyword/wallet,Q603337,http://www.wikidata.org/entity/Q603337,Apple Wallet,Programm des Technologieunternehmens Apple,exact,de
Edge Daten,http://example.org/digitalhaushalt/keyword/edge-daten,,,,,none,
Campusnetz,http://example.org/digitalhaushalt/keyword/campusnetz,Q131384970,http://www.wikidata.org/entity/Q131384970,Campusnetze,Mobilfunknetz,fuzzy,de
Netzkomponenten,http://example.org/digitalhaushalt/keyword/netzkomponenten,,,,,none,
OpenRAN,http://example.org/digitalhaushalt/keyword/openran,,,,,none,
Daten zum Nutzen,http://example.org/digitalhaushalt/keyword/daten-zum-nutzen,,,,,none,
Gaia-X,http://example.org/digitalhaushalt/keyword/gaia-x,Q74431584,http://www.wikidata.org/entity/Q74431584,Gaia-X,"Europäische Initiative mit dem Ziel, einen De-facto-Standard zu schaffen, um föderierte und vertrauenswürdige Daten- und Infrastruktur-Ökosysteme zu ermöglichen.",exact,de
